# xdata, ydata, yerror
-3.000000000000000000e+00 7.404588245199999553e-04 5.346269566551000406e-03
-2.854379374736269792e+00 1.652476847772999967e-03 8.118211738735999633e-03
-2.484801715407539913e+00 1.034864670913900053e-02 3.500321202250299829e-02
-2.168731168140530130e+00 3.931671951182100222e-02 3.230295292457600193e-02
-2.018092137448010082e+00 6.874191729420900399e-02 2.176641480432999973e-02
-1.791548535113040019e+00 1.446528386012289891e-01 5.992083378838999712e-03
-1.663655830583560036e+00 2.089655122794369935e-01 1.324406282782999988e-02
-1.461222305392090082e+00 3.455043089303300174e-01 2.418947806781599971e-02
-1.350881969638259905e+00 4.356233760420010204e-01 4.330585766182099700e-02
-1.132926081905929916e+00 6.277768013056219676e-01 3.424303572776300070e-02
-7.966622458932599571e-01 8.446372571264629814e-01 4.661268291431999722e-02
-6.165057706538550342e-01 8.431420913758600477e-01 3.111358108635000133e-02
-5.391958532505739532e-01 8.063306397530409786e-01 3.369244397670000113e-02
-2.221381701388860097e-01 4.228854718292099912e-01 3.033050737652200068e-02
-1.848600469105609878e-01 3.572990046300589806e-01 2.751806399972199849e-02
-9.894351066865000530e-03 1.978676495057200141e-02 4.458914152513000079e-02
2.592264066939999889e-01 -4.847584315608720051e-01 2.314466257334000035e-02
5.377785742651900458e-01 -8.054396593950320371e-01 1.921627245415999993e-03
5.597736864036370052e-01 -8.183852333791570288e-01 7.483970254289999810e-04
7.266791768778260163e-01 -8.571128903675480082e-01 2.878926410190699864e-02
1.074130676982260058e+00 -6.776679442053490376e-01 5.760650280625999840e-03
1.104004189699689942e+00 -6.526369169123650282e-01 4.010888993422499771e-02
1.237236457996750083e+00 -5.354077660361949986e-01 3.216809852197000195e-03
1.470624542349340036e+00 -3.382729399578500162e-01 4.135860413285900178e-02
1.512193581461559910e+00 -3.072723019089970142e-01 2.131102899565399944e-02
1.561038310285810082e+00 -2.729839594151429738e-01 3.877869661689700015e-02
1.720719725535380107e+00 -1.781754491241389904e-01 4.884420635515700215e-02
2.073968166891699827e+00 -5.620592977237200139e-02 3.226568533935100097e-02
2.445226912499100180e+00 -1.237781467777000072e-02 4.747125904855299672e-02
2.820864669679839842e+00 -1.975197578901999838e-03 7.762709430943999685e-03
3.000000000000000000e+00 -7.404588245199999553e-04 3.120373180218500089e-02
